,Trust_Score,Severity_Index,delay_days,CREDIBILITY,CONSISTENCY,TRANSPARENCY,TIMELINESS,INTEGRITY,at,MKCAP,ROA1,leverage2at
Trust_Score,1.0,-0.3617857880733137,0.008940260111349851,0.3469867416613239,0.75075652237385,0.27111842905488187,0.459797160588389,0.1730374848623778,-0.0063857547974341365,-0.0019431775444414881,-0.004733792917221568,0.019455398285996905
Severity_Index,-0.3617857880733137,1.0,0.8006889114176143,-0.18590107101586845,-0.27303316546772866,0.06512332745930194,-0.2517437283098526,-0.032633648768987895,0.0391015982681672,0.0364371821654313,0.0003819718529145865,-0.006138112309470606
delay_days,0.008940260111349851,0.8006889114176143,1.0,0.03307484719092512,-0.016240321181876037,0.15541345112221921,-0.07928765269588293,0.02358857064512328,0.03167707698880551,0.027188117666292356,-0.006733386745049112,0.009718850398737825
CREDIBILITY,0.3469867416613239,-0.18590107101586845,0.03307484719092512,1.0,-0.0657734995244834,0.5282711936035961,-0.027749104221978956,0.15760143014452035,0.029588016509931373,0.011792358176390967,-0.002125278977392629,0.005220513607609992
CONSISTENCY,0.75075652237385,-0.27303316546772866,-0.016240321181876037,-0.0657734995244834,1.0,-0.16750403367656963,0.04580080626599116,-0.056599015180633636,-0.05147948114692069,-0.03498130245572866,-0.01162254601390182,0.024116697407142524
TRANSPARENCY,0.27111842905488187,0.06512332745930194,0.15541345112221921,0.5282711936035961,-0.16750403367656963,1.0,-0.07226063001041776,0.10998699240862327,0.13816296600640615,0.09072862511183934,0.01437484789696848,-0.017416198388554807
TIMELINESS,0.459797160588389,-0.2517437283098526,-0.07928765269588293,-0.027749104221978956,0.04580080626599116,-0.07226063001041776,1.0,-0.013533840325086673,-0.0349686965202848,-0.013358865034329342,-0.0038114844308914926,0.008312658279830859
INTEGRITY,0.1730374848623778,-0.032633648768987895,0.02358857064512328,0.15760143014452035,-0.056599015180633636,0.10998699240862327,-0.013533840325086673,1.0,0.016586819566608135,0.015154728141740155,0.016156025985557418,0.0020782143178149125
at,-0.0063857547974341365,0.0391015982681672,0.03167707698880551,0.029588016509931373,-0.05147948114692069,0.13816296600640615,-0.0349686965202848,0.016586819566608135,1.0,0.30381317334429575,0.010262231691640823,-0.007957448286324312
MKCAP,-0.0019431775444414881,0.0364371821654313,0.027188117666292356,0.011792358176390967,-0.03498130245572866,0.09072862511183934,-0.013358865034329342,0.015154728141740155,0.30381317334429575,1.0,0.008023828057501327,-0.006334556800748931
ROA1,-0.004733792917221568,0.0003819718529145865,-0.006733386745049112,-0.002125278977392629,-0.01162254601390182,0.01437484789696848,-0.0038114844308914926,0.016156025985557418,0.010262231691640823,0.008023828057501327,1.0,-0.427580712310068
leverage2at,0.019455398285996905,-0.006138112309470606,0.009718850398737825,0.005220513607609992,0.024116697407142524,-0.017416198388554807,0.008312658279830859,0.0020782143178149125,-0.007957448286324312,-0.006334556800748931,-0.427580712310068,1.0
